 l  u  v  type  shape  cells  cmssw_type  cmssw_shape  cmssw_cells  <nHitsTotal>  corrFactorTotal  <nHistsToA>  corrFactorToA  <nHitsBXM1>  corrFactorBXM1  <n32bWords>
  2   4   3   0   F 432   0   F 432 100.259600   1.000000   9.982200   1.000000  23.321000   1.000000  91.946600
  2   4   4   0   F 432   0   F 432  78.959800   1.000000   7.263200   1.000000  16.919000   1.000000  78.960200
  2   4   5   0   F 432   0   F 432  56.477800   1.000000   4.902200   1.000000  11.128600   1.000000  65.617600
  2   4   6   1   F 192   1   F 192  40.635800   1.000000   6.842200   1.000000  13.153000   1.000000  44.104600
  2   4   7   1   F 192   1   F 192  26.570800   1.000000   6.934200   1.000000   8.662800   1.000000  36.198000
  2   4   8   1   F 192   1   F 192  17.739400   1.000000   4.654200   1.000000   5.478400   1.000000  29.927400
  2   4   9   1   L 226   1   F 192  10.532400   1.175705   3.219800   1.183303   2.252000   1.166874  27.303400
  2   5   0   1   F 192   1   F 192  46.989200   1.000000   8.097800   1.000000  15.286400   1.000000  48.362200
  2   5   1   0   F 432   0   F 432  56.757200   1.000000   4.933600   1.000000  11.166000   1.000000  65.774800
  2   5   2   0   F 432   0   F 432  63.948000   1.000000   5.601800   1.000000  12.984000   1.000000  70.078800
  2   5   3   0   F 432   0   F 432  64.250400   1.000000   5.645000   1.000000  12.955800   1.000000  70.233000
  2   5   4   0   F 432   0   F 432  56.486800   1.000000   4.943400   1.000000  11.055800   1.000000  65.601200
  2   5   5   1   F 192   1   F 192  46.938000   1.000000   7.982400   1.000000  15.598800   1.000000  48.386400
  2   5   6   1   F 192   1   F 192  34.348000   1.000000   9.196400   1.000000  11.262800   1.000000  41.684800
  2   5   7   1   F 192   1   F 192  24.500600   1.000000   6.393200   1.000000   7.957800   1.000000  34.744400
  2   5   8   1   F 192   1   F 192  17.137200   1.000000   4.547000   1.000000   5.202600   1.000000  29.504000
  2   5   9   1   F 192   1   F 192  10.563600   1.000000   3.236800   1.000000   2.261000   1.000000  23.689400
  2   6   0   1   F 192   1   F 192  27.471800   1.000000   7.229600   1.000000   8.936200   1.000000  36.817400
  2   6   1   1   F 192   1   F 192  34.449000   1.000000   9.138400   1.000000  11.356400   1.000000  41.766000
  2   6   2   1   F 192   1   F 192  40.562800   1.000000   6.780600   1.000000  13.173200   1.000000  44.032600
