 l  u  v  type  shape  cells  cmssw_type  cmssw_shape  cmssw_cells  <nHitsTotal>  corrFactorTotal  <nHistsToA>  corrFactorToA  <nHitsBXM1>  corrFactorBXM1  <n32bWords>
  2   2   6   1   F 192   1   F 192  38.155800   1.000000   6.632800   1.000000  12.643000   1.000000  42.586800
  2   2   7   1   F 192   1   F 192  23.776400   1.000000   4.069400   1.000000   7.618200   1.000000  33.153400
  2   2   8   1   F 192   1   F 192  13.838200   1.000000   4.091200   1.000000   3.371600   1.000000  26.785000
  2   2   9   1   b 164   1   F 164   7.726200   1.000000   2.402600   1.000000   1.668400   1.000000  19.040600
  2   3   0   0   F 432   0   F 432 142.533600   1.000000  17.628600   1.000000  40.470200   1.000000 121.079800
  2   3   1   0   F 432   0   F 432 182.750600   1.000000  25.730000   1.000000  60.834400   1.000000 149.508000
  2   3   2   0   F 432   0   F 432 183.017400   1.000000  25.698800   1.000000  60.780000   1.000000 149.543400
  2   3   3   0   F 432   0   F 432 142.675400   1.000000  17.532800   1.000000  40.518600   1.000000 121.061200
  2   3   4   0   F 432   0   F 432  96.305600   1.000000  10.338200   1.000000  22.742600   1.000000  89.981200
  2   3   5   0   F 432   0   F 432  61.191000   1.000000   5.895800   1.000000  12.714200   1.000000  68.849400
  2   3   6   1   F 192   1   F 192  40.348000   1.000000   7.125800   1.000000  13.244400   1.000000  44.093600
  2   3   7   1   F 192   1   F 192  25.889200   1.000000   4.430200   1.000000   8.384600   1.000000  34.552400
  2   3   8   1   F 192   1   F 192  16.881000   1.000000   2.903800   1.000000   5.370200   1.000000  28.612200
  2   3   9   1   L 226   1   F 192   9.982600   1.176968   3.096000   1.183010   2.148200   1.169537  26.651400
  2   4   0   0   F 432   0   F 432  75.207000   1.000000   7.574000   1.000000  16.407400   1.000000  77.132200
  2   4   1   0   F 432   0   F 432  96.085000   1.000000  10.337200   1.000000  22.835200   1.000000  89.909200
  2   4   2   0   F 432   0   F 432 105.021000   1.000000  11.620800   1.000000  25.616000   1.000000  95.580200
  2   4   3   0   F 432   0   F 432  95.940200   1.000000  10.315000   1.000000  22.798400   1.000000  89.790600
  2   4   4   0   F 432   0   F 432  75.317200   1.000000   7.607800   1.000000  16.565000   1.000000  77.243400
  2   4   5   0   F 432   1   F 192  53.906800   1.039342  10.333400   0.490487  16.969000   0.777418  66.542600
  2   4   6   1   F 192   1   F 192  38.050000   1.000000   6.640200   1.000000  12.546200   1.000000  42.543200
  2   4   7   1   F 192   1   F 192  25.796400   1.000000   4.409800   1.000000   8.365600   1.000000  34.469200
  2   4   8   1   F 192   1   F 192  17.474200   1.000000   2.968800   1.000000   5.609400   1.000000  28.989800
  2   4   9   1   F 192   1   F 192  10.581600   1.000000   3.247800   1.000000   2.243600   1.000000  23.710000
  2   5   0   1   F 192   1   F 192  44.335400   1.000000   7.823000   1.000000  14.931800   1.000000  46.838800
  2   5   1   0   F 432   1   F 192  53.904400   1.039626  10.310400   0.490592  17.101600   0.776945  66.588800
  2   5   2   0   F 432   0   F 432  61.350400   1.000000   5.944400   1.000000  12.700400   1.000000  68.945200
  2   5   3   0   F 432   0   F 432  61.059800   1.000000   5.881400   1.000000  12.726600   1.000000  68.820200
  2   5   4   1   F 192   1   F 192  53.773800   1.000000  10.270400   1.000000  17.062000   1.000000  53.211400
